,Date,Pageviews
0,2019-10-02,1453
1,2019-10-03,1453
2,2019-10-04,1453
3,2019-10-05,1453
4,2019-10-06,1453
5,2019-10-07,1453
6,2019-10-08,1453
7,2019-10-09,1453
8,2019-10-10,1453
9,2019-10-11,1453
10,2019-10-12,1453
11,2019-10-13,1453
12,2019-10-14,1453
13,2019-10-15,1453
14,2019-10-16,1453
15,2019-10-17,1453
16,2019-10-18,1453
17,2019-10-19,1453
18,2019-10-20,1453
19,2019-10-21,1453
20,2019-10-22,1453
21,2019-10-23,1453
22,2019-10-24,1453
23,2019-10-25,1453
24,2019-10-26,1453
25,2019-10-27,1453
26,2019-10-28,1453
27,2019-10-29,1453
28,2019-10-30,1453
29,2019-10-31,1453
30,2019-11-01,1453
31,2019-11-02,1453
32,2019-11-03,1453
33,2019-11-04,1453
34,2019-11-05,1453
35,2019-11-06,1453
36,2019-11-07,1453
37,2019-11-08,1453
38,2019-11-09,1453
39,2019-11-10,1453
40,2019-11-11,1453
41,2019-11-12,1453
42,2019-11-13,1453
43,2019-11-14,1453
44,2019-11-15,1453
45,2019-11-16,1453
46,2019-11-17,1453
47,2019-11-18,1453
48,2019-11-19,1453
49,2019-11-20,1453
50,2019-11-21,1453
51,2019-11-22,1453
52,2019-11-23,1453
53,2019-11-24,1453
54,2019-11-25,1453
55,2019-11-26,1453
56,2019-11-27,1453
57,2019-11-28,1453
58,2019-11-29,1453
59,2019-11-30,1453
60,2019-12-01,1453
61,2019-12-02,1453
62,2019-12-03,1453
63,2019-12-04,1453
64,2019-12-05,1453
65,2019-12-06,1453
66,2019-12-07,1453
67,2019-12-08,1453
68,2019-12-09,1453
69,2019-12-10,1453
