,Date,Pageviews
0,2019-09-07,242
1,2019-09-08,242
2,2019-09-09,242
3,2019-09-10,242
4,2019-09-11,242
5,2019-09-12,242
6,2019-09-13,242
7,2019-09-14,242
8,2019-09-15,242
9,2019-09-16,242
10,2019-09-17,242
11,2019-09-18,242
12,2019-09-19,242
13,2019-09-20,242
14,2019-09-21,242
15,2019-09-22,242
16,2019-09-23,242
17,2019-09-24,242
18,2019-09-25,242
19,2019-09-26,242
20,2019-09-27,242
21,2019-09-28,242
22,2019-09-29,242
23,2019-09-30,242
24,2019-10-01,242
25,2019-10-02,242
26,2019-10-03,242
27,2019-10-04,242
28,2019-10-05,242
29,2019-10-06,242
30,2019-10-07,242
31,2019-10-08,242
32,2019-10-09,242
33,2019-10-10,242
34,2019-10-11,242
35,2019-10-12,242
36,2019-10-13,242
37,2019-10-14,242
38,2019-10-15,242
39,2019-10-16,242
40,2019-10-17,242
41,2019-10-18,242
42,2019-10-19,242
43,2019-10-20,242
44,2019-10-21,242
45,2019-10-22,242
46,2019-10-23,242
47,2019-10-24,242
48,2019-10-25,242
49,2019-10-26,242
50,2019-10-27,242
51,2019-10-28,242
52,2019-10-29,242
53,2019-10-30,242
54,2019-10-31,242
55,2019-11-01,242
56,2019-11-02,242
57,2019-11-03,242
58,2019-11-04,242
59,2019-11-05,242
60,2019-11-06,242
61,2019-11-07,242
62,2019-11-08,242
63,2019-11-09,242
64,2019-11-10,242
65,2019-11-11,242
66,2019-11-12,242
67,2019-11-13,242
68,2019-11-14,242
69,2019-11-15,242
70,2019-11-16,242
71,2019-11-17,242
72,2019-11-18,242
73,2019-11-19,242
74,2019-11-20,242
75,2019-11-21,242
76,2019-11-22,242
77,2019-11-23,242
78,2019-11-24,242
79,2019-11-25,242
80,2019-11-26,242
81,2019-11-27,242
82,2019-11-28,242
83,2019-11-29,242
84,2019-11-30,242
85,2019-12-01,242
86,2019-12-02,242
87,2019-12-03,242
88,2019-12-04,242
89,2019-12-05,242
90,2019-12-06,242
91,2019-12-07,242
92,2019-12-08,242
93,2019-12-09,242
94,2019-12-10,242
