,Date,Pageviews
0,2019-11-06,66
1,2019-11-07,66
2,2019-11-08,66
3,2019-11-09,66
4,2019-11-10,66
5,2019-11-11,66
6,2019-11-12,66
7,2019-11-13,66
8,2019-11-14,66
9,2019-11-15,66
10,2019-11-16,66
11,2019-11-17,66
12,2019-11-18,66
13,2019-11-19,66
14,2019-11-20,66
15,2019-11-21,66
16,2019-11-22,66
17,2019-11-23,66
18,2019-11-24,66
19,2019-11-25,66
20,2019-11-26,66
21,2019-11-27,66
22,2019-11-28,66
23,2019-11-29,66
24,2019-11-30,66
25,2019-12-01,66
26,2019-12-02,66
27,2019-12-03,66
28,2019-12-04,66
29,2019-12-05,66
30,2019-12-06,66
31,2019-12-07,66
32,2019-12-08,66
33,2019-12-09,66
34,2019-12-10,66
