,Date,Pageviews
0,2019-10-15,58
1,2019-10-16,58
2,2019-10-17,58
3,2019-10-18,58
4,2019-10-19,58
5,2019-10-20,58
6,2019-10-21,58
7,2019-10-22,58
8,2019-10-23,58
9,2019-10-24,58
10,2019-10-25,58
11,2019-10-26,58
12,2019-10-27,58
13,2019-10-28,58
14,2019-10-29,58
15,2019-10-30,58
16,2019-10-31,58
17,2019-11-01,58
18,2019-11-02,58
19,2019-11-03,58
20,2019-11-04,58
21,2019-11-05,58
22,2019-11-06,58
23,2019-11-07,58
24,2019-11-08,58
25,2019-11-09,58
26,2019-11-10,58
27,2019-11-11,58
28,2019-11-12,58
29,2019-11-13,58
30,2019-11-14,58
31,2019-11-15,58
32,2019-11-16,58
33,2019-11-17,58
34,2019-11-18,58
35,2019-11-19,58
36,2019-11-20,58
37,2019-11-21,58
38,2019-11-22,58
39,2019-11-23,58
40,2019-11-24,58
41,2019-11-25,58
42,2019-11-26,58
43,2019-11-27,58
44,2019-11-28,58
45,2019-11-29,58
46,2019-11-30,58
47,2019-12-01,58
48,2019-12-02,58
49,2019-12-03,58
50,2019-12-04,58
51,2019-12-05,58
52,2019-12-06,58
53,2019-12-07,58
54,2019-12-08,58
55,2019-12-09,58
56,2019-12-10,58
