,Date,Pageviews
0,2015-07-02,182
1,2015-07-03,182
2,2015-07-04,182
3,2015-07-05,182
4,2015-07-06,182
5,2015-07-07,182
6,2015-07-08,182
7,2015-07-09,182
8,2015-07-10,182
9,2015-07-11,182
10,2015-07-12,182
11,2015-07-13,182
12,2015-07-14,182
13,2015-07-15,182
14,2015-07-16,182
15,2015-07-17,182
16,2015-07-18,182
17,2015-07-19,182
18,2015-07-20,182
19,2015-07-21,182
20,2015-07-22,182
21,2015-07-23,182
22,2015-07-24,182
23,2015-07-25,182
24,2015-07-26,182
25,2015-07-27,182
26,2015-07-28,182
27,2015-07-29,182
28,2015-07-30,182
29,2015-07-31,182
30,2015-08-01,182
31,2015-08-02,182
32,2015-08-03,182
33,2015-08-04,182
34,2015-08-05,182
35,2015-08-06,182
36,2015-08-07,182
37,2015-08-08,182
38,2015-08-09,182
39,2015-08-10,182
40,2015-08-11,182
41,2015-08-12,182
42,2015-08-13,182
43,2015-08-14,182
44,2015-08-15,182
45,2015-08-16,182
46,2015-08-17,182
47,2015-08-18,182
48,2015-08-19,182
49,2015-08-20,182
50,2015-08-21,182
51,2015-08-22,182
52,2015-08-23,182
53,2015-08-24,182
54,2015-08-25,182
55,2015-08-26,182
56,2015-08-27,182
57,2015-08-28,182
58,2015-08-29,182
59,2015-08-30,182
60,2015-08-31,182
61,2015-09-01,182
62,2015-09-02,182
63,2015-09-03,182
64,2015-09-04,182
65,2015-09-05,182
66,2015-09-06,182
67,2015-09-07,182
68,2015-09-08,182
69,2015-09-09,182
70,2015-09-10,182
71,2015-09-11,182
72,2015-09-12,182
73,2015-09-13,182
74,2015-09-14,182
75,2015-09-15,182
76,2015-09-16,182
77,2015-09-17,182
78,2015-09-18,182
79,2015-09-19,182
80,2015-09-20,182
81,2015-09-21,182
82,2015-09-22,182
83,2015-09-23,182
84,2015-09-24,182
85,2015-09-25,182
86,2015-09-26,182
87,2015-09-27,182
88,2015-09-28,182
89,2015-09-29,182
90,2015-09-30,182
91,2015-10-01,182
92,2015-10-02,182
93,2015-10-03,182
94,2015-10-04,182
95,2015-10-05,182
96,2015-10-06,182
97,2015-10-07,182
98,2015-10-08,182
99,2015-10-09,182
100,2015-10-10,182
101,2015-10-11,182
102,2015-10-12,182
103,2015-10-13,182
104,2015-10-14,182
105,2015-10-15,182
106,2015-10-16,182
107,2015-10-17,182
108,2015-10-18,182
109,2015-10-19,182
110,2015-10-20,182
111,2015-10-21,182
112,2015-10-22,182
113,2015-10-23,182
114,2015-10-24,182
115,2015-10-25,182
116,2015-10-26,182
117,2015-10-27,182
118,2015-10-28,182
119,2015-10-29,182
120,2015-10-30,182
121,2015-10-31,182
122,2015-11-01,182
123,2015-11-02,182
124,2015-11-03,182
125,2015-11-04,182
126,2015-11-05,182
127,2015-11-06,182
128,2015-11-07,182
129,2015-11-08,182
130,2015-11-09,182
131,2015-11-10,182
132,2015-11-11,182
133,2015-11-12,182
134,2015-11-13,182
135,2015-11-14,182
136,2015-11-15,182
137,2015-11-16,182
138,2015-11-17,182
139,2015-11-18,182
140,2015-11-19,182
141,2015-11-20,182
142,2015-11-21,182
143,2015-11-22,182
144,2015-11-23,182
145,2015-11-24,182
146,2015-11-25,182
147,2015-11-26,182
148,2015-11-27,182
149,2015-11-28,182
150,2015-11-29,182
151,2015-11-30,182
152,2015-12-01,182
153,2015-12-02,182
154,2015-12-03,182
155,2015-12-04,182
156,2015-12-05,182
157,2015-12-06,182
158,2015-12-07,182
159,2015-12-08,182
160,2015-12-09,182
161,2015-12-10,182
162,2015-12-11,182
163,2015-12-12,182
164,2015-12-13,182
165,2015-12-14,182
166,2015-12-15,182
167,2015-12-16,182
168,2015-12-17,182
169,2015-12-18,182
170,2015-12-19,182
171,2015-12-20,182
172,2015-12-21,182
173,2015-12-22,182
174,2015-12-23,182
175,2015-12-24,182
176,2015-12-25,182
177,2015-12-26,182
178,2015-12-27,182
179,2015-12-28,182
180,2015-12-29,182
181,2015-12-30,182
182,2015-12-31,182
183,2016-01-01,182
184,2016-01-02,182
185,2016-01-03,182
186,2016-01-04,182
187,2016-01-05,182
188,2016-01-06,182
189,2016-01-07,182
190,2016-01-08,182
191,2016-01-09,182
192,2016-01-10,182
193,2016-01-11,182
194,2016-01-12,182
195,2016-01-13,182
196,2016-01-14,182
197,2016-01-15,182
198,2016-01-16,182
199,2016-01-17,182
200,2016-01-18,182
201,2016-01-19,182
202,2016-01-20,182
203,2016-01-21,182
204,2016-01-22,182
205,2016-01-23,182
206,2016-01-24,182
207,2016-01-25,182
208,2016-01-26,182
209,2016-01-27,182
210,2016-01-28,182
211,2016-01-29,182
212,2016-01-30,182
213,2016-01-31,182
214,2016-02-01,182
215,2016-02-02,182
216,2016-02-03,182
217,2016-02-04,182
218,2016-02-05,182
219,2016-02-06,182
220,2016-02-07,182
221,2016-02-08,182
222,2016-02-09,182
