,Article 1,Article 2,Corr.
0,Storming of the Legislative Council Complex,Siege of the Hong Kong Polytechnic University,0.8477208338120571
1,Siege of the Hong Kong Polytechnic University,Storming of the Legislative Council Complex,0.847720833812057
2,12 June 2019 Hong Kong protest,Siege of the Hong Kong Polytechnic University,0.8287911452900407
3,Siege of the Hong Kong Polytechnic University,12 June 2019 Hong Kong protest,0.8287911452900407
4,2019 Hong Kong extradition bill,Storming of the Legislative Council Complex,0.8236021916142731
5,Storming of the Legislative Council Complex,2019 Hong Kong extradition bill,0.8236021916142731
6,Causes of the 2019–20 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.8187187045624817
7,Siege of the Hong Kong Polytechnic University,Causes of the 2019–20 Hong Kong protests,0.8187187045624817
8,Storming of the Legislative Council Complex,12 June 2019 Hong Kong protest,0.806991243340403
9,12 June 2019 Hong Kong protest,Storming of the Legislative Council Complex,0.806991243340403
