,Article,Revisions,Editors (unique),Talk Revisions,Talk Editors,Pageviews,Talk Pageviews
5,2019–20 Hong Kong protests,6685,593,49,14,4980504,571
20,Hong Kong,5029,1098,49,14,5306,571
7,Carrie Lam,1110,245,76,38,1391805,1156
1,2019 Hong Kong extradition bill,718,131,82,33,1008610,1468
2,2019 Hong Kong local elections,645,95,85,23,392216,1024
34,Reactions to the 2019–20 Hong Kong protests,529,88,116,27,87004,942
4,2019 Yuen Long attack,470,80,239,32,93508,1890
37,Tactics and methods surrounding the 2019–20 Hong Kong protests,452,72,49,14,109132,571
32,"One country, two systems",426,146,29,20,918380,784
38,Umbrella Movement,380,86,30,16,362,362
21,Hong Kong–Mainland China conflict,378,103,26,16,392931,475
14,Glory to Hong Kong,366,82,30,11,90040,505
27,List of November 2019 Hong Kong protests,322,42,9,7,43132,175
30,List of September 2019 Hong Kong protests,298,50,32,8,23940,195
13,Demosistō,287,68,29,8,165890,290
33,Police misconduct allegations during the 2019–20 Hong Kong protests,286,43,49,18,44892,555
12,Death of Chow Tsz-lok,283,22,16,10,9487,259
18,Hong Kong Human Rights and Democracy Act,261,43,22,9,304731,347
15,Government of Hong Kong,220,78,7,7,375240,526
23,List of August 2019 Hong Kong protests,212,44,5,5,28525,77
28,List of October 2019 Hong Kong protests,197,57,16,6,40654,163
22,Lennon Wall (Hong Kong),189,49,10,5,114891,112
17,Hong Kong 1 July marches,175,76,12,9,118653,199
8,Causes of the 2019–20 Hong Kong protests,172,35,30,7,149888,210
19,Hong Kong Way,158,35,19,12,15848,271
3,2019 Prince Edward station attack,155,26,105,15,20243,847
35,Siege of the Hong Kong Polytechnic University,146,32,7,6,17948,168
11,Death of Chan Yin-lam,107,16,6,4,4797,64
36,Storming of the Legislative Council Complex,103,13,5,3,7288,28
9,Chinese University of Hong Kong conflict,99,23,47,15,6276,350
16,HKmap.live,70,10,11,7,15270,526
6,Art of the 2019–20 Hong Kong protests,68,10,7,4,42574,19
26,List of March–June 2019 Hong Kong protests,65,25,25,8,19741,37
25,List of July 2019 Hong Kong protests,63,29,9,4,12980,37
10,Civil Human Rights Front,57,30,7,6,43007,97
24,List of December 2019 Hong Kong protests,45,11,3,2,6908,32
31,Murder of Poon Hiu-wing,31,7,2,2,2501,11
29,List of protests in Hong Kong,24,13,5,3,45517,162
0,12 June 2019 Hong Kong protest,18,8,5,4,5306,18
